Action,Application,Start Time,End Time,Time Spent,Date
Started,chrome.exe,2023-10-18-17-19-49,2023-10-18-17-19-49,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-49,2023-10-18-17-19-49,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-49,2023-10-18-17-19-49,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-49,2023-10-18-17-19-49,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-49,2023-10-18-17-19-49,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-55,2023-10-18-17-19-55,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-55,2023-10-18-17-19-55,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-55,2023-10-18-17-19-55,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-55,2023-10-18-17-19-55,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-19-55,2023-10-18-17-19-55,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-01,2023-10-18-17-20-01,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-01,2023-10-18-17-20-01,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-01,2023-10-18-17-20-01,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-01,2023-10-18-17-20-01,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-01,2023-10-18-17-20-01,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-01,2023-10-18-17-20-01,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-07,2023-10-18-17-20-07,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-07,2023-10-18-17-20-07,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-07,2023-10-18-17-20-07,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-07,2023-10-18-17-20-07,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-07,2023-10-18-17-20-07,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-07,2023-10-18-17-20-07,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-13,2023-10-18-17-20-13,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-13,2023-10-18-17-20-13,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-13,2023-10-18-17-20-13,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-13,2023-10-18-17-20-13,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-13,2023-10-18-17-20-13,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-13,2023-10-18-17-20-13,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-19,2023-10-18-17-20-19,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-19,2023-10-18-17-20-19,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-19,2023-10-18-17-20-19,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-19,2023-10-18-17-20-19,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-19,2023-10-18-17-20-19,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-19,2023-10-18-17-20-19,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-25,2023-10-18-17-20-25,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-25,2023-10-18-17-20-25,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-25,2023-10-18-17-20-25,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-25,2023-10-18-17-20-25,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-25,2023-10-18-17-20-25,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-25,2023-10-18-17-20-25,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-30,2023-10-18-17-20-30,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-30,2023-10-18-17-20-30,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-30,2023-10-18-17-20-30,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-30,2023-10-18-17-20-30,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-30,2023-10-18-17-20-30,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-30,2023-10-18-17-20-30,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-36,2023-10-18-17-20-36,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-36,2023-10-18-17-20-36,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-36,2023-10-18-17-20-36,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-36,2023-10-18-17-20-36,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-36,2023-10-18-17-20-36,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-36,2023-10-18-17-20-36,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-42,2023-10-18-17-20-42,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-42,2023-10-18-17-20-42,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-42,2023-10-18-17-20-42,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-42,2023-10-18-17-20-42,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-42,2023-10-18-17-20-42,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-42,2023-10-18-17-20-42,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-47,2023-10-18-17-20-47,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-47,2023-10-18-17-20-47,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-47,2023-10-18-17-20-47,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-47,2023-10-18-17-20-47,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-47,2023-10-18-17-20-47,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-47,2023-10-18-17-20-47,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-53,2023-10-18-17-20-53,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-53,2023-10-18-17-20-53,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-53,2023-10-18-17-20-53,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-53,2023-10-18-17-20-53,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-53,2023-10-18-17-20-53,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-53,2023-10-18-17-20-53,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-59,2023-10-18-17-20-59,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-59,2023-10-18-17-20-59,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-59,2023-10-18-17-20-59,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-59,2023-10-18-17-20-59,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-59,2023-10-18-17-20-59,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-20-59,2023-10-18-17-20-59,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-05,2023-10-18-17-21-05,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-05,2023-10-18-17-21-05,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-05,2023-10-18-17-21-05,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-05,2023-10-18-17-21-05,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-05,2023-10-18-17-21-05,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-05,2023-10-18-17-21-05,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-11,2023-10-18-17-21-11,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-11,2023-10-18-17-21-11,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-11,2023-10-18-17-21-11,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-11,2023-10-18-17-21-11,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-11,2023-10-18-17-21-11,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-11,2023-10-18-17-21-11,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-16,2023-10-18-17-21-16,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-16,2023-10-18-17-21-16,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-16,2023-10-18-17-21-16,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-16,2023-10-18-17-21-16,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-16,2023-10-18-17-21-16,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-16,2023-10-18-17-21-16,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-22,2023-10-18-17-21-22,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-22,2023-10-18-17-21-22,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-22,2023-10-18-17-21-22,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-22,2023-10-18-17-21-22,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-22,2023-10-18-17-21-22,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-22,2023-10-18-17-21-22,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-28,2023-10-18-17-21-28,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-28,2023-10-18-17-21-28,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-28,2023-10-18-17-21-28,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-28,2023-10-18-17-21-28,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-28,2023-10-18-17-21-28,0.0,2023-10-18
Started,chrome.exe,2023-10-18-17-21-28,2023-10-18-17-21-28,0.0,2023-10-18
